Date,Name,Year,Letterboxd URI,Rating
2023-03-25,Daddy Day Care,2003,https://boxd.it/1VAw,3
2023-03-25,Moonfall,2022,https://boxd.it/ejwM,4.5
2023-03-25,Primer,2004,https://boxd.it/6YA,4
2023-03-28,Pathaan,2023,https://boxd.it/wGeC,1.5
2023-04-01,Rocky III,1982,https://boxd.it/28Tw,3.5
2023-04-02,Varudu Kaavalenu,2021,https://boxd.it/uaFs,1
2023-04-10,Beast,2022,https://boxd.it/szW0,4
2023-04-10,Kimi,2022,https://boxd.it/u7LW,4.5
2023-04-10,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-04-10,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,4
2023-04-16,Rocky IV,1985,https://boxd.it/28T2,3.5
2023-04-21,Missing,2023,https://boxd.it/sS1W,4.5
2023-05-01,The Lost City,2022,https://boxd.it/sg0Q,3
2023-05-03,The Sound of Music,1965,https://boxd.it/1MLK,5
2023-05-03,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3
2023-05-06,Balagam,2023,https://boxd.it/FkAY,3
2023-05-07,Rocky V,1990,https://boxd.it/28SS,3
2023-05-08,Dune,2021,https://boxd.it/fA7G,5
2023-05-10,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,4
2023-05-13,Galaxy Quest,1999,https://boxd.it/29gq,5
2023-05-15,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0,3
2023-05-15,Somebody I Used to Know,2023,https://boxd.it/wMaw,1.5
2023-05-17,Side Effects,2013,https://boxd.it/3GA6,3.5
2023-05-21,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,2.5
2023-05-21,The Kerala Story,2023,https://boxd.it/GgM4,4
2023-05-23,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,1
2023-05-24,Werewolf by Night,2022,https://boxd.it/xMrO,4
2023-05-24,Pitch Perfect,2012,https://boxd.it/3OsE,4.5
2023-05-25,A Man Called Otto,2022,https://boxd.it/zl06,4
2023-05-25,Till,2022,https://boxd.it/wfwY,5
2023-05-27,The Fabelmans,2022,https://boxd.it/ugoM,3.5
2023-05-29,TÁR,2022,https://boxd.it/uNIA,2.5
2023-05-29,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-05-30,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2023-05-30,Magic Mike,2012,https://boxd.it/2HvY,2
2023-06-01,The Black Phone,2021,https://boxd.it/sqFE,4
2023-06-03,Violent Night,2022,https://boxd.it/xXBA,1
2023-06-08,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-09,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,3.5
2023-06-10,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/29xQ,2
2023-06-10,Pitch Perfect 2,2015,https://boxd.it/7tNa,3.5
2023-06-10,Rocky,1976,https://boxd.it/28Uk,4
2023-06-10,Titanic,1997,https://boxd.it/2a2k,5
2023-06-12,Rocky Balboa,2006,https://boxd.it/291q,3.5
2023-06-13,Freaky,2020,https://boxd.it/ka42,3
2023-06-15,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4
2023-06-15,Alien,1979,https://boxd.it/2awY,5
2023-06-15,Prisoners,2013,https://boxd.it/4E5i,4.5
2023-06-15,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,5
2023-06-15,RRR,2022,https://boxd.it/ljDs,4
2023-06-19,Austin Powers in Goldmember,2002,https://boxd.it/29xG,2.5
2023-06-21,Adipurush,2023,https://boxd.it/rxX4,1.5
2023-06-24,12 Years a Slave,2013,https://boxd.it/2D2e,4.5
2023-06-26,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2023-06-28,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi,3.5
2023-06-28,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2023-06-29,Footloose,1984,https://boxd.it/288A,3
2023-06-29,The Outfit,2022,https://boxd.it/u6Eq,3.5
2023-06-29,Black Mirror: Mazey Day,2023,https://boxd.it/H7QS,2
2023-06-29,Knock at the Cabin,2023,https://boxd.it/npL2,1.5
2023-07-03,Extraction 2,2023,https://boxd.it/q4Zo,4.5
2023-07-08,John Carter,2012,https://boxd.it/FQ2,2.5
2023-07-10,Hotel Artemis,2018,https://boxd.it/ejwW,3
2023-07-13,American Graffiti,1973,https://boxd.it/29us,2.5
2023-07-14,Sully,2016,https://boxd.it/cD8Q,4.5
2023-07-15,Creed,2015,https://boxd.it/a2qk,4.5
2023-07-18,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,4.5
2023-07-22,Black Mirror: Demon 79,2023,https://boxd.it/H7Rc,3
2023-07-26,Babylon,2022,https://boxd.it/mM02,3
2023-08-02,Barbie,2023,https://boxd.it/bCLK,3
2023-08-02,Oppenheimer,2023,https://boxd.it/wUow,3.5
2023-08-02,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,4
2023-08-02,Cocaine Bear,2023,https://boxd.it/ugw2,1
2023-08-02,Passengers,2016,https://boxd.it/8lFu,4.5
2023-08-02,Philadelphia,1993,https://boxd.it/1XMk,3
2023-08-02,Disenchanted,2022,https://boxd.it/bg9E,3
2023-08-03,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,5
2023-08-03,Triangle of Sadness,2022,https://boxd.it/hXlq,0.5
2023-08-03,Ford v Ferrari,2019,https://boxd.it/ce74,5
2023-08-09,The Northman,2022,https://boxd.it/nK2s,5
2023-08-09,Arrival,2016,https://boxd.it/aNGk,5
2023-08-09,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2023-08-09,Toy Story 3,2010,https://boxd.it/1WRe,5
2023-08-09,The Martian,2015,https://boxd.it/8SeG,5
2023-08-09,Inside Out,2015,https://boxd.it/4KHC,5
2023-08-09,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,5
2023-08-10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-08-11,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,3
2023-08-11,Sleepless in Seattle,1993,https://boxd.it/29re,2.5
2023-08-11,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,5
2023-08-11,Like Stars on Earth,2007,https://boxd.it/20SA,5
2023-08-11,Jurassic Park,1993,https://boxd.it/2aA2,5
2023-08-11,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,5
2023-08-12,3:10 to Yuma,2007,https://boxd.it/23g0,4.5
2023-08-12,Memento,2000,https://boxd.it/2bcK,5
2023-08-18,Strange World,2022,https://boxd.it/x6Li,2
2023-08-21,The Mule,2018,https://boxd.it/idcY,3
2023-08-22,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.5
2023-08-31,Breakwater,2023,https://boxd.it/C2bA,1.5
2023-09-01,The Flash,2023,https://boxd.it/9twC,4
2023-09-01,Three Identical Strangers,2018,https://boxd.it/hDNO,5
2023-09-01,A Quiet Place,2018,https://boxd.it/fVJQ,5
2023-09-01,Searching,2018,https://boxd.it/hDPg,5
2023-09-04,Batman,1989,https://boxd.it/2aIU,3
2023-09-04,If Beale Street Could Talk,2018,https://boxd.it/gGhu,3.5
2023-09-05,Lights Out,2016,https://boxd.it/bAHc,2
2023-09-05,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,5
2023-09-11,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2023-09-18,The Benchwarmers,2006,https://boxd.it/1Xr2,4
2023-09-18,Air,2023,https://boxd.it/Arlc,4.5
2023-09-18,Saving Private Ryan,1998,https://boxd.it/29ro,5
2023-09-27,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3.5
2023-09-29,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2023-09-29,This Is the End,2013,https://boxd.it/3GB4,5
2023-09-29,Casino Royale,2006,https://boxd.it/1alk,5
2023-09-30,Ray,2004,https://boxd.it/28km,4
2023-09-30,Renfield,2023,https://boxd.it/o8vy,3
2023-10-01,Rocky Aur Rani Kii Prem Kahaani,2023,https://boxd.it/w0wa,1
2023-10-03,The BFG,2016,https://boxd.it/81cs,2
2023-10-05,Thirteen Lives,2022,https://boxd.it/q7O4,5
2023-10-21,Missing Link,2019,https://boxd.it/gn0O,3
2023-10-21,Joy Ride,2023,https://boxd.it/wEeK,4
2023-10-21,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2023-10-31,Uncle Buck,1989,https://boxd.it/26yG,3
2023-10-31,Saw II,2005,https://boxd.it/2aRs,3
2023-11-03,Black Hawk Down,2001,https://boxd.it/29rI,3.5
2023-11-03,Coming to America,1988,https://boxd.it/1Ygu,3
2023-11-04,Asteroid City,2023,https://boxd.it/s3ds,4
2023-11-04,Fast X,2023,https://boxd.it/drIu,2.5
2023-11-04,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2023-11-04,No Hard Feelings,2023,https://boxd.it/xouu,3
2023-11-04,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3
2023-11-05,Hook,1991,https://boxd.it/29nQ,5
2023-11-05,Miss. Shetty Mr. Polishetty,2023,https://boxd.it/DyTQ,1.5
2023-11-07,Jawan,2023,https://boxd.it/wVDs,1.5
2023-12-03,The SpongeBob Movie: Sponge on the Run,2020,https://boxd.it/e1Ac,4.5
2023-12-03,Cats,2019,https://boxd.it/jydK,0.5
2023-12-03,The Goonies,1985,https://boxd.it/1YVC,5
2023-12-03,Hypnotic,2023,https://boxd.it/jwXw,2
2023-12-03,Creed II,2018,https://boxd.it/hgl8,3.5
2023-12-03,The Happytime Murders,2018,https://boxd.it/eyTm,2
2023-12-03,Elemental,2023,https://boxd.it/ASiE,4.5
2023-12-03,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,5
2023-12-03,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,4
2023-12-15,Past Lives,2023,https://boxd.it/oNB8,5
2023-12-15,Beau Is Afraid,2023,https://boxd.it/u2gE,1
2023-12-15,Mast Mein Rehne Ka,2023,https://boxd.it/JtVk,1
2023-12-22,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,2
2023-12-22,Casablanca,1942,https://boxd.it/2aG0,2.5
2023-12-24,The Last Samurai,2003,https://boxd.it/29ZA,3.5
2023-12-24,The Firm,1993,https://boxd.it/18JY,4
2023-12-24,X,2022,https://boxd.it/sxVa,3
2023-12-26,Rain Man,1988,https://boxd.it/2avw,4.5
2023-12-28,Scarface,1983,https://boxd.it/2b7g,5
2023-12-30,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,3
2023-12-30,Holiday in the Vineyards,2023,https://boxd.it/J8dw,2.5
2024-01-01,Candy Cane Lane,2023,https://boxd.it/CGHw,2
2024-01-02,Jackie Brown,1997,https://boxd.it/2aVO,4
2024-01-02,Gran Turismo,2023,https://boxd.it/B2lS,4.5
2024-01-03,Love and Monsters,2020,https://boxd.it/lJ6E,4
2024-01-04,Ma,2019,https://boxd.it/i8Wi,3
2024-01-07,May December,2023,https://boxd.it/vEE2,2.5
2024-01-07,The Creator,2023,https://boxd.it/oXWq,4.5
2024-01-12,Hi Nanna,2023,https://boxd.it/Eqsa,1.5
2024-01-12,The Killer,2023,https://boxd.it/u6WE,4.5
2024-01-14,Black Swan,2010,https://boxd.it/Sw0,2
2024-01-18,Shastry Viruddh Shastry,2023,https://boxd.it/ziGe,4.5
2024-01-18,The Lighthouse,2019,https://boxd.it/icFU,4
2024-01-20,Hanu-Man,2024,https://boxd.it/wNZ6,4.5
2024-01-21,Polite Society,2023,https://boxd.it/AU9u,3.5
2024-01-25,Society of the Snow,2023,https://boxd.it/y9aw,5
2024-01-25,Call Me by Your Name,2017,https://boxd.it/dYmm,1
2024-01-25,Self Reliance,2023,https://boxd.it/EzDG,2
2024-02-02,The Last Duel,2021,https://boxd.it/mQbe,4.5
2024-02-02,Saltburn,2023,https://boxd.it/z4eg,3
2024-02-02,Pain Hustlers,2023,https://boxd.it/wBNW,3.5
2024-02-03,12th Fail,2023,https://boxd.it/I1sM,4.5
2024-02-07,Dumb Money,2023,https://boxd.it/tNdU,3
2024-02-10,Sound of Freedom,2023,https://boxd.it/piEi,4
2024-02-11,Yesterday,2019,https://boxd.it/iF7M,4.5
2024-02-15,Fighter,2024,https://boxd.it/tvnM,4.5
2024-02-16,Animal,2023,https://boxd.it/toAu,0.5
2024-02-27,RoboCop,1987,https://boxd.it/22Wu,3.5
2024-02-28,Maestro,2023,https://boxd.it/j0DE,2
2024-02-28,Okja,2017,https://boxd.it/dvXe,3.5
2024-03-01,The New Mutants,2020,https://boxd.it/bjle,4
2024-03-01,Lightyear,2022,https://boxd.it/qV1G,4.5
2024-03-01,Glass Onion,2022,https://boxd.it/oCkK,4.5
2024-03-01,Bottoms,2023,https://boxd.it/uGf2,3.5
2024-03-01,Mystic River,2003,https://boxd.it/2aAG,3
2024-03-03,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-14,Dunki,2023,https://boxd.it/Ahr0,3.5
2024-03-20,Dawn of the Dead,2004,https://boxd.it/29gK,4.5
2024-03-23,Being the Ricardos,2021,https://boxd.it/iJQc,4
2024-03-24,Poor Things,2023,https://boxd.it/tNWU,2.5
2024-03-24,Article 370,2024,https://boxd.it/KRUC,4
2024-03-26,The Marvels,2023,https://boxd.it/mwU4,2
2024-03-28,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2024-04-01,Notting Hill,1999,https://boxd.it/2aeK,3
2024-04-03,Wonka,2023,https://boxd.it/tCQm,4.5
2024-04-04,House of Gucci,2021,https://boxd.it/nVkC,2
2024-04-04,Creed III,2023,https://boxd.it/pf68,4
2024-04-05,Blue Beetle,2023,https://boxd.it/kJLq,2
2024-04-05,Kindergarten Cop,1990,https://boxd.it/29dm,2.5
2024-04-18,Moulin Rouge!,2001,https://boxd.it/29wI,3
2024-04-18,Dumb and Dumber,1994,https://boxd.it/206m,4.5
2024-04-19,American Fiction,2023,https://boxd.it/DYHm,3.5
2024-04-24,Rush,2013,https://boxd.it/3lyS,4
2024-04-25,Civil War,2024,https://boxd.it/z1jW,4.5
2024-04-28,The Holdovers,2023,https://boxd.it/vHza,4
2024-04-28,Napoleon,2023,https://boxd.it/shJM,3
2024-04-28,Midsommar,2019,https://boxd.it/jhxe,2.5
2024-04-28,The Zone of Interest,2023,https://boxd.it/gJsA,3.5
2024-04-28,The Sting,1973,https://boxd.it/1Z5s,4
2024-04-28,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2024-04-28,Cowboys & Aliens,2011,https://boxd.it/F2G,1.5
2024-04-28,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,3
2024-04-28,Pinocchio,1940,https://boxd.it/1V8C,4.5
2024-04-29,The Notebook,2004,https://boxd.it/1UNE,3.5
2024-05-05,Remember the Titans,2000,https://boxd.it/1VLk,4.5
2024-05-05,The Family Star,2024,https://boxd.it/H90k,0.5
2024-05-09,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,2
2024-05-09,Monkey Man,2024,https://boxd.it/kvsO,1
2024-05-12,Minari,2020,https://boxd.it/mL9M,3.5
2024-05-15,Mad Max,1979,https://boxd.it/1Y7i,2.5
2024-05-16,Pete's Dragon,2016,https://boxd.it/9hza,2.5
2024-05-16,The Great Gatsby,2013,https://boxd.it/JY,2
2024-05-20,Madame Web,2024,https://boxd.it/nwD0,0.5
2024-05-20,Her,2013,https://boxd.it/4O24,5
2024-05-22,Mad Max 2,1981,https://boxd.it/1ZPg,5
2024-05-26,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-05-31,In the Heights,2021,https://boxd.it/gLhu,3.5
2024-06-01,Crew,2024,https://boxd.it/DA96,3
2024-06-06,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3.5
2024-06-07,Godzilla Minus One,2023,https://boxd.it/zu4c,4.5
2024-06-07,1917,2019,https://boxd.it/jj4y,5
2024-06-08,Beverly Hills Cop,1984,https://boxd.it/2baE,4
2024-06-10,Uunchai,2022,https://boxd.it/C9Vg,4
2024-06-10,Fighting with My Family,2019,https://boxd.it/fRyO,4.5
2024-06-15,Run,2020,https://boxd.it/jVM4,3.5
2024-06-17,Schindler's List,1993,https://boxd.it/2aq2,5
2024-06-17,The After,2023,https://boxd.it/Ikpi,4
2024-06-20,Inside Out 2,2024,https://boxd.it/CFrC,4.5
2024-06-24,Memory,2022,https://boxd.it/uPj8,1.5
2024-06-25,Animal House,1978,https://boxd.it/2062,1
2024-06-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-06-28,Tower Heist,2011,https://boxd.it/iQI,4
2024-07-02,A Quiet Place: Day One,2024,https://boxd.it/sDAi,4.5
2024-07-03,Wish,2023,https://boxd.it/CFtS,3
2024-07-09,Kalki 2898-AD,2024,https://boxd.it/uaUM,3.5
2024-07-09,What Lies Beneath,2000,https://boxd.it/26v8,3
2024-07-09,Mean Girls,2024,https://boxd.it/p6nO,2
2024-07-09,The Internship,2013,https://boxd.it/3SWS,3
2024-07-09,A Million Ways to Die in the West,2014,https://boxd.it/5H9k,2.5
2024-07-12,The Godfather,1972,https://boxd.it/2aNK,2.5
2024-07-12,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,2.5
2024-07-17,Alien: Covenant,2017,https://boxd.it/49UY,3
2024-07-19,Prey,2022,https://boxd.it/sNBU,4.5
2024-07-20,Angels in the Outfield,1994,https://boxd.it/1wYo,4.5
2024-07-21,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,4
2024-07-23,Cool Runnings,1993,https://boxd.it/29qg,3.5
2024-07-24,Hit Man,2023,https://boxd.it/ANB2,1.5
2024-07-25,Twister,1996,https://boxd.it/29S0,3.5
2024-08-01,Carol,2015,https://boxd.it/7DPK,0.5
2024-08-01,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-08-01,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2024-08-01,Recess: School's Out,2001,https://boxd.it/1F9a,4.5
2024-08-05,Titane,2021,https://boxd.it/nlQC,1
2024-08-05,Gladiator,2000,https://boxd.it/2b9m,5
2024-08-08,Twisters,2024,https://boxd.it/qV7a,3
2024-08-10,Saving Bikini Bottom: The Sandy Cheeks Movie,2024,https://boxd.it/vmgQ,1
2024-08-14,A Beautiful Mind,2001,https://boxd.it/2amk,3
2024-08-15,Saw III,2006,https://boxd.it/2aRC,1.5
2024-08-16,Luca,2021,https://boxd.it/ipjC,2.5
2024-08-22,Beverly Hills Cop: Axel F,2024,https://boxd.it/8Bvq,2
2024-08-24,Leave the World Behind,2023,https://boxd.it/re0i,1
2024-08-30,The Fault in Our Stars,2014,https://boxd.it/6BQa,5
2024-09-08,CODA,2021,https://boxd.it/tbf4,4
2024-09-13,The Irishman,2019,https://boxd.it/dYOq,1.5
2024-09-13,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,1
2024-09-17,The First Slam Dunk,2022,https://boxd.it/tt94,1
2024-09-25,Challengers,2024,https://boxd.it/zld0,5
2024-09-27,Juno,2007,https://boxd.it/210a,4
2024-09-30,The Shining,1980,https://boxd.it/29Nu,4.5
2024-09-30,Bring It On,2000,https://boxd.it/28x6,4
2024-09-30,The Conjuring,2013,https://boxd.it/4sr2,2.5
2024-09-30,Argylle,2024,https://boxd.it/w1kk,2
2024-09-30,Bend It Like Beckham,2002,https://boxd.it/2am0,2.5
2024-10-03,Love Lies Bleeding,2024,https://boxd.it/zN4q,4
2024-10-04,Wolfs,2024,https://boxd.it/x6zG,4.5
2024-10-06,Beverly Hills Cop II,1987,https://boxd.it/2b9G,3
2024-10-08,Independence Day: Resurgence,2016,https://boxd.it/JwK,3
2024-10-14,Emancipation,2022,https://boxd.it/qOa2,3.5
2024-10-14,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4
2024-11-04,The Bling Ring,2013,https://boxd.it/3lPY,0.5
2024-11-04,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2024-11-04,Duel,1971,https://boxd.it/29ui,4.5
2024-11-04,Robot Dreams,2023,https://boxd.it/vBZm,5
2024-11-04,IF,2024,https://boxd.it/nJwG,1.5
2024-11-04,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,4.5
2024-11-04,Star Trek Beyond,2016,https://boxd.it/5Ik4,2.5
2024-11-27,The Whale,2022,https://boxd.it/tw4c,3
2024-11-28,Anora,2024,https://boxd.it/Egcw,4
2024-11-28,Trap,2024,https://boxd.it/D4nK,2
2024-11-28,The Instigators,2024,https://boxd.it/E4jA,2.5
2024-11-28,The Union,2024,https://boxd.it/qkD4,1.5
2024-11-28,Hot Frosty,2024,https://boxd.it/NeBM,1.5
2024-12-04,Wicked,2024,https://boxd.it/e8ME,4
2024-12-04,The Thing,1982,https://boxd.it/294O,4.5
2024-12-04,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,3
2024-12-04,Hillbilly Elegy,2020,https://boxd.it/lQmY,4
2024-12-04,Shattered Glass,2003,https://boxd.it/1PXa,3.5
2024-12-04,Everest,2015,https://boxd.it/7r7Q,5
2024-12-04,Last Christmas,2019,https://boxd.it/k38G,1
2024-12-04,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,2
2024-12-04,Greenland,2020,https://boxd.it/j1Um,3.5
2024-12-05,Magnolia,1999,https://boxd.it/2aze,4
2024-12-09,Fly Me to the Moon,2024,https://boxd.it/A7Xg,4.5
2024-12-09,Finch,2021,https://boxd.it/iXBq,4.5
2024-12-12,Blitz,2024,https://boxd.it/xR8i,3.5
2024-12-14,Tetris,2023,https://boxd.it/rePK,4
2024-12-14,Emilia Pérez,2024,https://boxd.it/AP3G,0.5
2024-12-16,American Gangster,2007,https://boxd.it/23wi,4
2024-12-19,Gladiator II,2024,https://boxd.it/kqQQ,3
2024-12-21,Stree 2,2024,https://boxd.it/G5Cs,3
2024-12-21,Our Little Secret,2024,https://boxd.it/KVeA,1.5
2024-12-26,Lucky Baskhar,2024,https://boxd.it/L79s,4.5
2024-12-26,The Holiday,2006,https://boxd.it/28ye,4
2024-12-26,Clueless,1995,https://boxd.it/1Ygk,2
2024-12-27,Juror #2,2024,https://boxd.it/FRwU,4.5
2025-01-01,The King of Comedy,1982,https://boxd.it/2aJS,5
2025-01-01,Joker: Folie à Deux,2024,https://boxd.it/xBoE,0.5
2025-01-01,Carry-On,2024,https://boxd.it/C0B2,4
2025-01-05,Irish Wish,2024,https://boxd.it/CxHM,1
2025-01-07,The Substance,2024,https://boxd.it/zanS,3.5
2025-01-11,Hundreds of Beavers,2022,https://boxd.it/CyUM,3.5
2025-01-11,Zwigato,2022,https://boxd.it/Cl6u,4
2025-01-11,Million Dollar Baby,2004,https://boxd.it/2bdI,2.5
2025-01-13,Thelma & Louise,1991,https://boxd.it/28Ew,5
2025-01-16,American Psycho,2000,https://boxd.it/28Vs,2.5
2025-01-18,The Birds,1963,https://boxd.it/2a6m,4
2025-01-18,Murder on the Orient Express,2017,https://boxd.it/dHjA,2
2025-01-20,A Different Man,2024,https://boxd.it/BoEC,4
2025-01-23,Sankranthiki Vasthunam,2025,https://boxd.it/R9Dc,0.5
2025-01-31,Eat Pray Love,2010,https://boxd.it/16Cc,2.5
2025-01-31,Amaran,2024,https://boxd.it/yWSs,4
2025-01-31,Mystery Men,1999,https://boxd.it/1XIM,2
2025-02-03,Sikandar Ka Muqaddar,2024,https://boxd.it/LHeI,4.5
2025-02-09,American Sniper,2014,https://boxd.it/5LDy,4.5
2025-02-10,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,1
2025-02-10,Pearl,2022,https://boxd.it/zPbe,4.5
2025-02-10,Grave of the Fireflies,1988,https://boxd.it/1RUM,4.5
2025-02-11,Blue Velvet,1986,https://boxd.it/29BI,3
2025-02-12,Saturday Night,2024,https://boxd.it/Gpfo,2.5
2025-02-17,Flow,2024,https://boxd.it/v1Ei,3
2025-02-18,Here,2024,https://boxd.it/zscS,3
2025-02-18,King Richard,2021,https://boxd.it/mJZ2,4.5
2025-02-21,The Ides of March,2011,https://boxd.it/1WyG,4
2025-02-22,Death on the Nile,2022,https://boxd.it/ifpg,2.5
2025-02-23,The Equalizer 2,2018,https://boxd.it/bAEW,3.5
2025-02-24,Unforgiven,1992,https://boxd.it/6Z4,3
2025-03-03,Dìdi (弟弟),2024,https://boxd.it/HQOW,5
2025-03-07,Force Majeure,2014,https://boxd.it/7UcA,3
2025-03-09,Do the Right Thing,1989,https://boxd.it/29gA,1.5
2025-03-15,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg,4.5
2025-03-15,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-03-15,The Power of the Dog,2021,https://boxd.it/m99E,1
2025-03-15,Fargo,1996,https://boxd.it/2aHM,3.5
2025-03-15,Conclave,2024,https://boxd.it/AO8q,2.5
2025-03-15,Babygirl,2024,https://boxd.it/Fvai,3
2025-03-15,Point Break,1991,https://boxd.it/2958,3.5
2025-03-15,Lawrence of Arabia,1962,https://boxd.it/2wRE,2
2025-03-15,Hot Shots!,1991,https://boxd.it/1YhC,3.5
2025-03-16,Black Mirror: Beyond the Sea,2023,https://boxd.it/H7QI,4
2025-03-16,Heretic,2024,https://boxd.it/H1lY,2
2025-03-24,Children of Men,2006,https://boxd.it/1Y2i,2.5
2025-04-13,Wedding Crashers,2005,https://boxd.it/1Yte,0.5
2025-04-18,The Giver,2014,https://boxd.it/6HWo,1
